[2025-03-14 09:42:44.479715] No face detected
[2025-03-14 09:42:45.687829] Potential cheating: Eyes closed
[2025-03-14 09:42:45.712949] Potential cheating: Eyes closed
[2025-03-14 09:42:45.737580] Potential cheating: Eyes closed
[2025-03-14 09:42:45.772293] Potential cheating: Eyes closed
[2025-03-14 09:42:45.812974] Potential cheating: Eyes closed
[2025-03-14 09:42:45.852831] Potential cheating: Eyes closed
[2025-03-14 09:42:45.887107] Potential cheating: Eyes closed
[2025-03-14 09:42:45.922734] Potential cheating: Eyes closed
[2025-03-14 09:42:45.952828] Potential cheating: Eyes closed
[2025-03-14 09:42:45.996651] Potential cheating: Eyes closed
[2025-03-14 09:42:46.017509] Potential cheating: Eyes closed
[2025-03-14 09:42:46.046620] Potential cheating: Eyes closed
[2025-03-14 09:42:46.088035] Potential cheating: Eyes closed
[2025-03-14 09:42:46.121611] Potential cheating: Eyes closed
[2025-03-14 09:42:46.172562] Potential cheating: Eyes closed
[2025-03-14 09:42:46.187095] Potential cheating: Eyes closed
[2025-03-14 09:42:46.212432] Potential cheating: Eyes closed
[2025-03-14 09:42:46.246140] Potential cheating: Eyes closed
[2025-03-14 09:42:46.286954] Potential cheating: Eyes closed
[2025-03-14 09:42:46.321507] Potential cheating: Eyes closed
[2025-03-14 09:42:46.362864] Potential cheating: Eyes closed
[2025-03-14 09:42:46.379608] Potential cheating: Eyes closed
[2025-03-14 09:42:46.404889] Potential cheating: Eyes closed
[2025-03-14 09:42:46.436415] Potential cheating: Eyes closed
[2025-03-14 09:42:46.472925] Potential cheating: Eyes closed
[2025-03-14 09:42:46.529962] Potential cheating: Eyes closed
[2025-03-14 09:42:46.563293] Potential cheating: Eyes closed
[2025-03-14 09:42:46.596621] Potential cheating: Eyes closed
[2025-03-14 09:42:46.646576] Potential cheating: Eyes closed
[2025-03-14 09:42:46.680169] Potential cheating: Eyes closed
[2025-03-14 09:42:46.700973] Potential cheating: Eyes closed
[2025-03-14 09:42:46.720112] Potential cheating: Eyes closed
[2025-03-14 09:42:46.754823] Potential cheating: Eyes closed
[2025-03-14 09:42:50.720241] Potential cheating: Eyes closed
[2025-03-14 09:42:50.753583] Potential cheating: Eyes closed
[2025-03-14 09:42:50.786848] Potential cheating: Eyes closed
[2025-03-14 09:42:50.820233] Potential cheating: Eyes closed
[2025-03-14 09:42:50.853348] Potential cheating: Eyes closed
[2025-03-14 09:42:50.887884] Potential cheating: Eyes closed
[2025-03-14 09:42:50.937147] Potential cheating: Eyes closed
[2025-03-14 09:42:50.969296] Potential cheating: Eyes closed
[2025-03-14 09:42:51.012857] Potential cheating: Eyes closed
[2025-03-14 09:42:51.037029] Potential cheating: Eyes closed
[2025-03-14 09:42:51.078941] Potential cheating: Eyes closed
[2025-03-14 09:42:51.112864] Potential cheating: Eyes closed
[2025-03-14 09:42:51.137054] Potential cheating: Eyes closed
[2025-03-14 09:42:51.169305] Potential cheating: Eyes closed
[2025-03-14 09:42:51.187124] Potential cheating: Eyes closed
[2025-03-14 09:42:51.222285] Potential cheating: Eyes closed
[2025-03-14 09:42:51.264429] Potential cheating: Eyes closed
[2025-03-14 09:42:51.289153] Potential cheating: Eyes closed
[2025-03-14 09:42:51.336179] Potential cheating: Eyes closed
[2025-03-14 09:42:51.369210] Potential cheating: Eyes closed
[2025-03-14 09:42:51.403668] Potential cheating: Eyes closed
[2025-03-14 09:42:51.435694] Potential cheating: Eyes closed
